1	3	1.732050807568877
2	2	2.449489742783178
2	4	3
3	1	1.732050807568877
3	3	4.898979485566357
3	5	4.242640687119285
4	2	3
4	4	7.348469228349534
4	6	5.477225575051661
5	3	4.242640687119285
5	5	9.797958971132712
5	7	6.708203932499369
6	4	5.477225575051661
6	6	12.24744871391589
6	8	7.937253933193771
7	5	6.708203932499369
7	7	14.69693845669907
7	9	9.16515138991168
8	6	7.937253933193771
8	8	17.14642819948224
8	10	10.39230484541326
9	7	9.16515138991168
9	9	19.59591794226543
9	11	11.61895003862225
10	8	10.39230484541326
10	10	22.0454076850486
11	9	11.61895003862225
11	11	24.49489742783178
