1	3	3.464101615137754
2	2	4.898979485566357
2	4	5.999999999999999
3	1	3.464101615137754
3	3	9.797958971132713
3	5	8.48528137423857
4	2	5.999999999999999
4	4	14.69693845669907
4	6	10.95445115010332
5	3	8.48528137423857
5	5	19.59591794226542
5	7	13.41640786499874
6	4	10.95445115010332
6	6	24.49489742783178
6	8	15.87450786638754
7	5	13.41640786499874
7	7	29.39387691339814
7	9	18.33030277982336
8	6	15.87450786638754
8	8	34.29285639896449
8	10	20.78460969082653
9	7	18.33030277982336
9	9	39.19183588453085
9	11	23.2379000772445
10	8	20.78460969082653
10	10	44.0908153700972
11	9	23.2379000772445
11	11	48.98979485566356
